Sample_ID,P58905,Q9S752,O05496,Q0D5B9,Q4UK32,Q9UTR6,Q80W93,Q0WR59,Q27960,Q9DCM0,O52402,Q63120,C0H419,P22944,P43317,Q11208,Q9M907,K9NVA6,Q9H0C1,Q02440,Host
M_c1_C,1.620841236,2.6300263,2.091298473,2.283285202,2.146253606,3.021642883,2.491613119,1.620841236,1.620841236,1.620841236,5.371315464,2.793083678,2.283285202,4.962173695,3.795320842,1.620841236,2.93247962,1.856850235,5.624944256,2.241169164,0
M_c3_C,1.620841236,3.015490042,1.869137484,2.049851501,2.397577054,3.141323046,2.915706217,2.732384867,1.620841236,1.620841236,5.454003067,3.29984909,2.397577054,4.246878062,4.476103795,1.620841236,2.996270567,2.115618517,6.046559998,2.434535416,0
M_c5_C,1.620841236,2.928500372,1.948260802,2.346860612,2.346860612,2.637301661,3.031392206,2.891829293,1.620841236,1.620841236,4.735353411,3.343562103,2.082899433,5.862210513,4.477148366,1.620841236,3.368203566,2.185554349,5.838271616,2.533612133,0
M_c6_C,1.620841236,3.102072364,2.323750571,2.40483171,2.40483171,3.441657599,2.716726046,2.716726046,1.620841236,2.605541012,5.769914849,3.544729818,2.544092288,4.862746496,4.295078659,1.97489332,3.414487498,2.231058518,5.989264553,2.323750571,0
M_c7_C,1.620841236,2.838415355,2.321310115,2.152547941,2.531796468,2.961342617,2.567735662,2.838415355,1.620841236,1.620841236,5.299909397,3.227461764,2.081957961,5.848940176,4.332876818,1.620841236,2.937902954,2.081957961,5.68627154,2.49417974,0
M_c8_C,1.620841236,2.992264121,1.620841236,2.308967551,2.486490025,2.486490025,3.107508984,2.929652327,1.620841236,1.620841236,5.496974488,3.396352043,2.058507526,5.669256394,4.023741165,1.620841236,3.352855026,2.155857579,5.833914188,2.432054276,0
O_c1_C,1.620841236,1.944793237,2.373604864,2.017186272,1.850149985,2.078026242,1.850149985,1.850149985,1.620841236,1.620841236,1.944793237,2.179622818,1.944793237,3.477911659,2.673987586,1.620841236,2.62691106,2.017186272,2.131461696,2.40628999,0
O_c2_C,6.832480577,3.388496711,3.07767649,2.084106309,4.106305571,3.1971236,5.975812106,2.606624006,1.620841236,5.646825831,4.425642072,1.620841236,3.305317029,7.206316534,6.084305595,6.100120051,2.458467575,8.564340743,3.012768422,2.324537937,0
O_c3_C,1.620841236,1.874513261,2.374247738,1.620841236,2.263097318,2.156570971,2.156570971,2.093907513,1.620841236,2.185194956,1.620841236,1.620841236,1.800329824,3.426665952,2.63177946,1.620841236,2.126250675,2.059093303,1.931325597,2.156570971,0
O_c6_C,1.620841236,1.620841236,2.254679449,2.157747307,2.254679449,2.254679449,1.862059893,1.862059893,1.620841236,2.446122329,1.862059893,2.446122329,1.862059893,3.770296017,2.540514532,1.620841236,2.375883933,2.037679614,1.961580913,2.540514532,0
O_c7_C,1.620841236,2.350941852,2.350941852,2.350941852,1.620841236,2.139824137,1.620841236,1.620841236,1.620841236,2.460991741,2.045344488,1.620841236,1.620841236,3.937650697,2.757928211,1.620841236,2.642904873,1.620841236,1.921549741,2.219052789,0
O_c8_C,1.620841236,1.848623122,2.432237485,1.94264064,2.279878668,2.298645859,2.279878668,2.045885967,1.620841236,1.620841236,1.848623122,2.075000738,1.781990908,3.59096729,2.334597599,1.620841236,2.416872189,1.94264064,1.94264064,2.316871622,0
Past_c1_C,1.620841236,1.620841236,1.620841236,1.620841236,5.007391077,5.007391077,1.620841236,1.620841236,1.620841236,5.87293694,5.007391077,1.620841236,5.007391077,7.104537244,7.104537244,5.007391077,1.620841236,7.924090045,1.620841236,5.007391077,1
Past_c5_C,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,6.270775444,1.620841236,1.620841236,1.620841236,1
Past_c6_C,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1
