"","M_c1_C","M_c3_C","M_c5_C","M_c6_C","M_c7_C","M_c8_C","O_c1_C","O_c2_C","O_c3_C","O_c6_C","O_c7_C","O_c8_C","Past_c1_C","Past_c5_C","Past_c6_C","Past_c7_C","Pstr_c3_C","Pstr_c5_C","Pstr_c7_C","Pstr_c8_C","UVI_081_C","UVI_083_C","UVI_085_C","UVI_087_C","UVI_089_C","UVI_091_C","UVI_093_C","UVI_095_C","UVI_097_C","UVI_099_C","UVI_103_C","UVI_105_C","UVI_107_C","USVI_109_C","USVI_111_C","USVI_117_C","UVI_129_C","UVI_131_C","UVI_133_C","UVI_135_C","UVI_137_C"
"P58905",1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,6.832480577,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,13.98498173,13.96577846,13.66985101,13.377996,1.620841236,1.883799486,1.620841236,1.620841236,1.936124923,8.066118434,6.722975599,14.4274394,6.516017963,1.620841236,2.199258877,2.153320543,2.004912198,1.620841236,1.620841236,1.620841236,2.103215428,2.002079689,1.620841236,1.620841236,1.620841236
"Q9S752",2.6300263,3.015490042,2.928500372,3.102072364,2.838415355,2.992264121,1.944793237,3.388496711,1.874513261,1.620841236,2.350941852,1.848623122,1.620841236,1.620841236,1.620841236,1.620841236,10.90659881,10.42863778,9.170982718,9.71603319,3.049790712,3.325228807,3.150124237,3.577388509,3.013789521,5.523238822,4.615228986,10.73725057,6.092194688,1.620841236,2.199258877,1.620841236,2.004912198,1.620841236,1.620841236,5.390383813,1.620841236,2.277407882,2.372887531,2.030136125,2.517503198
"O05496",2.091298473,1.869137484,1.948260802,2.323750571,2.321310115,1.620841236,2.373604864,3.07767649,2.374247738,2.254679449,2.350941852,2.432237485,1.620841236,1.620841236,1.620841236,1.620841236,11.34149313,11.07017844,10.71165714,10.90044009,1.997741303,2.075050791,1.978121879,2.317379716,2.247720858,6.287429913,6.253912026,11.9627128,5.301995193,2.148980859,1.620841236,2.668671566,2.686010014,1.620841236,1.620841236,1.620841236,3.895865604,2.739640995,2.486069764,2.7531046,3.518478447
"Q0D5B9",2.283285202,2.049851501,2.346860612,2.40483171,2.152547941,2.308967551,2.017186272,2.084106309,1.620841236,2.157747307,2.350941852,1.94264064,1.620841236,1.620841236,1.620841236,1.620841236,10.66129654,10.0742911,9.673394672,9.752296207,1.997741303,2.144604916,2.124837769,1.620841236,2.065841323,5.275873346,6.089595714,10.65011201,6.498841407,1.620841236,1.620841236,2.153320543,2.004912198,1.620841236,1.620841236,5.390383813,3.275914693,2.541688998,3.021588499,2.818187209,2.766784976
"Q4UK32",2.146253606,2.397577054,2.346860612,2.40483171,2.531796468,2.486490025,1.850149985,4.106305571,2.263097318,2.254679449,1.620841236,2.279878668,5.007391077,1.620841236,1.620841236,1.620841236,9.699670007,10.3830413,9.544021675,9.340670299,1.997741303,2.310929086,2.236568284,1.907499993,1.620841236,5.839015549,5.690854889,10.63506313,4.91557337,2.148980859,2.199258877,2.668671566,4.007876579,1.620841236,1.620841236,1.620841236,3.623450998,3.930903073,3.574165476,3.828578748,4.259403445
"Q9UTR6",3.021642883,3.141323046,2.637301661,3.441657599,2.961342617,2.486490025,2.078026242,3.1971236,2.156570971,2.254679449,2.139824137,2.298645859,5.007391077,1.620841236,1.620841236,1.620841236,9.993154914,9.13842142,8.161179288,8.354197388,3.380575304,3.419153166,2.672017159,3.23414494,2.772084571,5.182864755,4.982972324,9.563229138,5.360489448,1.620841236,1.620841236,2.668671566,2.747602916,1.620841236,1.620841236,1.620841236,3.332049407,3.206443248,2.960797516,2.991325404,3.572763182
"Q80W93",2.491613119,2.915706217,3.031392206,2.716726046,2.567735662,3.107508984,1.850149985,5.975812106,2.156570971,1.862059893,1.620841236,2.279878668,1.620841236,1.620841236,1.620841236,1.620841236,10.09564952,8.764596749,8.984090407,9.292230317,1.997741303,1.883799486,2.236568284,2.257701088,2.164788326,5.878941398,4.811072636,10.3145264,4.560846957,2.148980859,2.433548462,3.655839949,3.489120476,1.620841236,1.620841236,1.620841236,4.179725042,2.951723499,5.162111956,4.470665922,3.339689232
"Q0WR59",1.620841236,2.732384867,2.891829293,2.716726046,2.838415355,2.929652327,1.850149985,2.606624006,2.093907513,1.862059893,1.620841236,2.045885967,1.620841236,1.620841236,1.620841236,1.620841236,9.633061983,10.18471423,8.666507203,9.519638593,1.997741303,1.992209191,2.236568284,2.372003668,1.936124923,6.54452095,5.035922642,10.57324695,5.177268147,2.148980859,2.882329289,2.891126286,2.282230809,1.620841236,1.620841236,1.620841236,2.864198391,2.002079689,2.486069764,2.19776299,2.144030258
"Q27960",1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,12.33978375,11.23323549,11.69166252,11.43449557,1.620841236,1.620841236,1.620841236,1.620841236,1.620841236,4.900185316,3.480391934,12.2263813,3.76218174,1.620841236,2.199258877,2.153320543,1.620841236,1.620841236,1.620841236,6.286627453,1.620841236,2.002079689,1.620841236,1.620841236,1.620841236
"Q9DCM0",1.620841236,1.620841236,1.620841236,2.605541012,1.620841236,1.620841236,1.620841236,5.646825831,2.185194956,2.446122329,2.460991741,1.620841236,5.87293694,1.620841236,1.620841236,1.620841236,11.46151407,10.55736999,10.53808408,9.6788351,1.620841236,1.883799486,1.620841236,1.907499993,1.936124923,6.81486921,6.360753328,11.58607177,4.560846957,2.148980859,1.620841236,2.153320543,3.326525258,1.620841236,1.620841236,1.620841236,3.786011226,3.315154007,3.329736148,3.043216956,2.766784976
